Code,DatasetID,Provider,Country,lat,lon,GeoBlock,Clay,Silt,Sand,OC,Db,dg,Sg,Instrument,Landuse_Code,Texture Class,Ksat,logKsat,Porosity,Porosity_sq,PoreRatio,BD_Adams,RelCompaction,OrganicPore,log_dg,Sg_,KC_logK,Sand_Clay
38,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,11.643,24.997,63.36,0.759,1.383,0.18251372500645424,11.564773646469824,4,6,SANDY LOAM,5.269,0.7217281985727882,0.4781132075471698,0.22859223923104305,0.40127269662249776,1.3616836572488187,1.015654401547456,0.3628879245283019,-0.7387044710955073,11.564773646469824,2.417861949816583,5.441896418448853
39,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,9.143,27.764,63.093,0.916,1.309,0.19606912410213082,10.229144461090021,4,6,SANDY LOAM,7.489,0.8744238305865019,0.5060377358490566,0.2560741901032396,0.5310814918054988,1.3429768673864035,0.974700333109589,0.4635305660377359,-0.7075907912777509,10.229144461090021,2.6018108654736785,6.900689051733567
40,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,17.972,11.82,70.207,1.039,1.368,0.19099357325161825,15.212254820180389,4,6,SANDY LOAM,8.131,0.9101439610645129,0.48377358490566036,0.23403688145247417,0.4248601585522524,1.3286764817406786,1.029596006853229,0.5026407547169811,-0.7189812460942472,15.212254820180389,2.4821147961676013,3.906465613176051
41,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,16.023,13.439,70.539,1.268,1.362,0.20599789173235403,13.935215055629586,4,1,SANDY LOAM,8.969,0.9527440240148983,0.4860377358490565,0.23623268066927725,0.43465782248851065,1.3028477398586225,1.045402281733855,0.6162958490566036,-0.6861372243574989,13.935215055629586,2.557704332778744,4.402359108781127
42,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,15.104,14.262,70.634,0.73,1.343,0.21300911793205068,13.3498599405253,4,6,SANDY LOAM,9.677,0.9857407410500746,0.4932075471698113,0.24325368458526164,0.46712043155030875,1.365196220541091,0.9837413697700587,0.36004150943396224,-0.6716018060315769,13.3498599405253,2.618056532916943,4.676509533898305
43,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,16.903,24.866,58.231,0.683,1.377,0.12735672622652297,14.44668119686612,4,1,SANDY LOAM,5.404,0.732715340349993,0.48037735849056606,0.23076240655037383,0.41055510483588337,1.3709276417502512,1.0044293791042074,0.32809773584905666,-0.894978113237293,14.44668119686612,2.1152465115484276,3.445009761580785
44,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,16.101,25.25,58.649,0.602,1.375,0.13275173633578707,14.011923664237376,4,6,SANDY LOAM,5.795,0.7630534402996147,0.4811320754716981,0.2314880740477038,0.4136940589427725,1.3809189555973738,0.9957137559931507,0.2896415094339623,-0.8769597898237476,14.011923664237376,2.154590985905759,3.642568784547544
45,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,18.154,23.967,57.879,0.871,1.393,0.12069896009279392,15.141274477860806,4,6,SANDY LOAM,4.578,0.6606757883385241,0.4743396226415094,0.22499807760768956,0.38624042498158634,1.348285930725561,1.0331636400376711,0.4131498113207547,-0.9182964716417297,15.141274477860806,2.0420960645023816,3.1882229811611764
46,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,9.939,32.213,57.848,1.365,1.26,0.1575610644800618,10.701765978607598,4,1,SANDY LOAM,18.39,1.2645817292380774,0.5245283018867924,0.27512993948024206,0.6383479038016323,1.2922074733801387,0.9750756174657534,0.7159811320754716,-0.8025510937663276,10.701765978607598,2.491786530570399,5.820303853506389
47,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,9.29,32.83,57.879,1.365,1.352,0.16111746353652404,10.376212214878013,4,1,SANDY LOAM,13.45,1.1287222843384268,0.4898113207547169,0.23991512993948017,0.451465762125817,1.2922074733801387,1.046271614931507,0.6685924528301885,-0.7928573838110761,10.376212214878013,2.360741334135559,6.230247578040904
48,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,11.05,31.059,57.891,0.685,1.294,0.15220002545191308,11.268460360212387,4,6,SANDY LOAM,16.325,1.2128531899471116,0.5116981132075471,0.2618349590601637,0.5619072582569843,1.3706827713219354,0.9440550556800391,0.3505132075471698,-0.8175852749397924,11.268460360212387,2.4063253736240804,5.2390045248868775
49,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,19.171,25.448,55.381,0.975,1.41,0.10652496531988667,15.530690381077804,4,1,SANDY LOAM,5.758,0.7602716605420632,0.4679245283018868,0.21895336418654326,0.3618936445435246,1.3360791153626692,1.05532672712818,0.45622641509433964,-0.9725485985157682,15.530690381077804,1.9053150407203039,2.8887903604402485
50,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,16.787,27.989,55.225,0.632,1.396,0.11446669537487539,14.202985738405308,4,6,SANDY LOAM,6.191,0.7917608040129049,0.4732075471698114,0.2239253826984693,0.38183514464438073,1.3772015341367483,1.0136497566966731,0.2990671698113208,-0.941320854973841,14.202985738405308,1.9910654705380213,3.2897480193006494
51,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,18.475,26.311,55.214,0.824,1.379,0.10830156006891678,15.128187234806438,4,6,SANDY LOAM,7.088,0.8505237088789943,0.4796226415094339,0.23003787824848695,0.40743866987651245,1.3538759537095664,1.0185571257260273,0.39520905660377353,-0.9653652873779847,15.128187234806438,1.9711629521302503,2.9885791610284165
52,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,17.741,28.616,53.643,0.293,1.264,0.1047011318047389,14.592224436351167,4,1,SANDY LOAM,7.724,0.8878422651073571,0.5230188679245282,0.2735487362050551,0.6288537701837812,1.420409684832168,0.8898841042113502,0.15324452830188676,-0.980048623632562,14.592224436351167,2.130283703245402,3.023673975536892
53,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,18.967,29.075,51.959,0.581,1.384,0.09456175289400437,15.07639519359762,4,6,LOAM,1.601,0.2043913319192997,0.4777358490566038,0.22823154147383415,0.39974502076297563,1.3835331140145901,1.0003374592054795,0.2775645283018868,-1.0242844858585733,15.07639519359762,1.8450453726612792,2.739442189065219
54,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,20.652,26.282,53.066,0.293,1.401,0.09322964311214756,16.111961423950028,4,1,SANDY CLAY LOAM,1.597,0.20330491613848292,0.4713207547169811,0.22214325382698466,0.3745977552891226,1.420409684832168,0.9863351503165361,0.13809698113207544,-1.0304459782775115,16.111961423950028,1.804504495571729,2.5695332171218284
